N,P,K,temperature,humidity,ph,rainfall,label
30,39,15,20.08,68.22,6.43,98.74,maize
32,57,15,24.21,73.18,5.71,70.29,maize
27,70,20,20.52,82.32,6.34,96.59,maize
21,47,13,25.62,72.47,7.48,78.17,maize
17,41,15,22.68,74.41,6.07,90.4,maize
32,74,21,21.99,81.04,6.31,104.27,maize
33,36,18,20.49,62.38,7.11,94.78,maize
20,65,16,23.9,67.83,6.72,76.63,maize
28,53,20,26.77,63.04,6.25,88.99,maize
15,36,12,20.74,68.07,6.88,78.96,maize
18,42,21,22.58,82.57,7.48,106.38,maize
32,45,19,20.78,83.68,5.65,73.11,maize
27,67,14,21.19,63.44,6.42,61.95,maize
32,65,20,26.76,70.33,6.39,61.73,maize
25,58,18,26.83,68.05,6.96,67.42,maize
20,46,12,23.91,81.82,6.82,95.44,maize
19,38,21,20.42,60.33,5.93,100.02,maize
18,39,14,24.13,73.19,7.22,96.83,maize
21,53,13,23.53,82.85,5.94,75.0,maize
34,69,17,25.46,64.7,6.06,64.03,maize
21,69,18,21.03,81.9,6.99,68.23,maize
32,42,12,24.63,71.32,6.03,105.98,maize
16,52,13,23.52,72.7,5.61,69.99,maize
16,60,19,22.96,67.35,6.31,87.67,maize
25,54,16,24.77,76.16,7.42,67.08,maize
16,36,14,20.46,62.53,5.95,89.11,maize
29,50,13,25.14,81.99,6.04,66.31,maize
30,48,14,24.17,78.35,5.69,82.68,maize
29,54,15,26.35,65.97,6.13,58.82,maize
18,70,13,20.09,71.87,6.17,64.76,maize
20,38,18,25.97,74.85,7.44,87.07,maize
24,44,13,25.73,74.18,7.48,100.94,maize
25,41,13,20.66,67.62,6.97,79.89,maize
29,74,14,23.41,69.11,5.53,74.39,maize
29,70,19,26.0,82.55,6.69,61.2,maize
28,64,12,26.85,81.41,6.82,62.79,maize
24,44,19,26.81,68.99,6.99,65.66,maize
34,60,21,26.14,76.97,7.3,79.71,maize
34,56,14,24.75,82.2,6.28,77.95,maize
34,47,12,23.64,68.58,6.72,78.84,maize
24,73,19,22.02,84.24,6.5,92.7,maize
24,41,21,24.37,76.61,6.11,70.85,maize
31,35,12,21.98,74.83,5.61,71.82,maize
23,61,12,21.76,68.76,6.07,102.25,maize
28,65,13,20.6,66.77,7.49,65.82,maize
26,38,14,23.31,68.87,7.12,90.04,maize
23,73,12,21.83,67.55,6.12,86.01,maize
28,47,17,24.78,64.99,5.77,85.49,maize
21,38,17,24.4,73.65,6.25,103.18,maize
23,40,16,22.19,83.37,6.93,80.76,maize
23,51,16,20.19,73.97,7.41,78.15,maize
30,59,15,21.7,72.81,5.75,84.88,maize
26,46,19,22.75,70.07,5.51,99.41,maize
32,53,12,20.38,80.75,6.8,73.34,maize
16,46,16,22.32,61.52,6.98,92.09,maize
29,37,14,21.01,78.51,6.49,67.29,maize
28,69,15,22.18,84.73,5.51,81.67,maize
28,39,12,24.23,63.03,5.69,66.24,maize
24,68,16,20.39,63.05,6.31,109.05,maize
31,68,17,25.75,77.03,7.22,88.94,maize
23,60,13,25.73,76.44,5.84,95.79,maize
25,54,14,24.67,83.98,6.49,91.72,maize
22,62,13,22.92,70.62,5.56,80.14,maize
26,35,15,24.52,82.33,6.74,57.34,maize
33,73,16,25.06,66.92,7.46,74.68,maize
32,55,15,24.94,69.77,5.63,91.08,maize
22,63,15,25.01,79.67,6.06,96.94,maize
21,50,21,24.52,69.41,6.44,91.24,maize
26,72,19,23.68,63.24,6.15,107.54,maize
21,59,16,20.31,81.3,5.82,60.31,maize
17,72,16,25.32,84.53,7.12,95.3,maize
19,70,13,26.25,78.9,6.34,58.54,maize
27,39,20,20.51,79.08,6.71,101.24,maize
33,47,18,22.64,84.72,6.65,65.99,maize
20,52,14,21.41,64.05,7.13,99.48,maize
18,58,18,24.68,65.09,7.12,104.13,maize
22,51,17,20.5,64.63,6.96,105.1,maize
27,54,20,23.99,71.84,6.2,89.02,maize
26,40,12,22.99,69.4,5.64,59.3,maize
30,46,13,21.61,75.04,6.16,67.32,maize
33,71,14,24.92,61.7,7.24,108.25,maize
16,58,20,26.52,72.5,6.3,58.12,maize
28,39,16,26.42,66.58,5.56,73.59,maize
20,48,19,20.98,73.68,6.97,105.83,maize
28,70,14,20.51,83.7,7.31,93.67,maize
30,36,21,26.65,74.95,6.72,59.43,maize
26,72,14,20.29,60.89,6.52,90.77,maize
23,47,20,26.8,60.54,5.61,97.55,maize
31,56,20,24.77,78.45,6.6,57.87,maize
30,62,16,22.99,63.44,6.38,104.34,maize
34,49,13,23.06,61.45,5.96,87.37,maize
19,64,20,25.55,74.2,7.48,55.82,maize
29,67,12,20.89,64.51,5.59,74.23,maize
28,44,14,24.24,71.97,5.74,59.22,maize
20,56,16,25.15,68.92,7.33,67.12,maize
29,72,19,22.05,76.34,6.55,69.71,maize
28,55,12,26.3,77.64,6.74,70.39,maize
19,40,21,21.61,78.55,5.92,75.48,maize
31,40,21,24.89,76.25,6.41,61.28,maize
24,36,14,22.69,80.68,5.67,70.35,maize
27,54,20,22.69,61.11,5.91,65.14,maize
23,37,15,23.79,68.7,5.55,88.48,maize
32,71,21,25.67,74.77,7.01,73.75,maize
31,52,16,25.1,78.39,5.61,61.01,maize
22,63,18,26.01,83.45,6.43,86.49,maize
26,55,13,22.67,78.64,7.35,62.25,maize
15,66,21,20.6,66.25,6.59,73.56,maize
22,59,15,24.61,79.56,7.12,88.44,maize
17,57,15,21.85,64.47,6.43,79.2,maize
24,73,16,25.91,65.45,5.62,106.64,maize
20,59,15,20.45,64.5,7.03,70.19,maize
32,40,18,21.03,75.45,5.6,61.29,maize
15,62,20,24.06,61.05,6.93,58.34,maize
29,45,14,24.75,81.44,6.21,94.51,maize
27,48,12,23.11,72.78,5.97,72.92,maize
22,67,16,24.49,81.9,5.79,72.96,maize
30,48,16,24.56,71.77,7.45,89.21,maize
18,36,21,26.38,60.64,6.72,99.44,maize
25,66,17,24.07,68.6,5.93,100.69,maize
15,64,15,26.98,61.96,5.65,106.45,maize
19,55,17,23.84,70.45,6.97,101.62,maize
25,37,16,23.67,71.03,6.04,100.98,maize
20,44,14,25.37,69.05,6.41,96.15,maize
17,44,19,26.16,69.05,6.2,82.81,maize
33,61,18,23.14,70.47,6.64,100.47,maize
17,56,19,22.85,74.62,5.78,69.32,maize
20,47,12,22.95,84.58,6.65,89.79,maize
30,70,20,20.11,63.02,6.03,85.5,maize
33,64,13,20.24,70.79,6.88,109.45,maize
17,69,21,26.33,68.86,6.3,85.63,maize
29,39,20,26.29,74.79,6.73,109.68,maize
15,64,15,23.14,70.22,6.4,100.91,maize
20,54,13,21.28,79.15,7.33,106.51,maize
16,70,17,22.59,76.24,6.26,79.12,maize
25,58,21,20.68,67.43,6.18,86.03,maize
32,58,20,22.99,68.07,6.14,64.81,maize
17,67,19,26.92,65.27,6.54,86.63,maize
27,38,14,20.83,66.85,6.38,103.69,maize
20,71,21,25.27,83.11,6.83,62.76,maize
19,68,19,20.19,82.56,7.42,84.69,maize
30,35,20,20.18,65.08,7.38,86.41,maize
29,55,20,22.06,62.74,6.91,101.46,maize
23,52,14,26.05,84.83,6.96,61.41,maize
22,38,19,25.09,68.18,6.51,70.19,maize
27,55,19,24.95,67.87,7.35,78.84,maize
33,66,15,25.89,76.53,7.26,56.96,maize
27,35,13,22.63,83.58,6.85,69.59,maize
18,67,19,21.98,64.96,7.25,107.3,maize
32,64,12,20.47,73.94,5.92,64.8,maize
23,45,15,24.09,75.94,6.47,91.13,maize
18,47,14,22.04,72.13,7.09,76.57,maize
22,54,12,20.79,82.02,7.01,70.8,maize
34,48,18,20.81,71.62,6.14,61.24,maize
28,63,19,23.39,80.12,6.48,77.66,maize
19,46,17,26.23,79.57,5.62,97.45,maize
20,47,15,23.09,69.97,7.32,69.76,maize
35,30,12,26.54,79.02,6.57,161.66,jute
30,33,13,28.07,77.25,6.6,151.39,jute
35,35,6,28.52,90.07,6.77,188.7,jute
34,32,8,25.99,73.45,6.54,210.18,jute
30,35,13,26.66,74.74,6.73,215.8,jute
28,26,13,25.51,78.75,6.48,160.99,jute
31,28,12,26.24,75.99,6.12,204.88,jute
34,27,11,26.35,71.87,6.07,200.55,jute
35,30,6,29.15,83.31,6.15,201.51,jute
35,28,10,26.56,77.12,6.51,151.64,jute
30,28,8,28.28,80.37,6.29,156.51,jute
37,32,9,29.54,81.73,6.24,151.2,jute
32,30,8,27.73,72.38,6.22,218.26,jute
31,28,8,27.82,84.14,6.33,206.68,jute
37,27,7,29.32,80.78,6.25,159.89,jute
34,31,11,27.83,75.11,6.77,167.64,jute
31,30,7,26.61,82.44,6.41,150.39,jute
34,35,12,27.73,76.89,6.65,172.53,jute
35,32,12,29.96,71.79,6.11,198.95,jute
31,35,7,28.74,73.66,6.44,218.03,jute
28,31,7,29.02,80.72,6.75,188.3,jute
31,29,9,26.47,90.28,6.68,186.57,jute
34,30,11,25.71,81.51,6.2,192.98,jute
35,32,8,27.31,90.6,6.93,200.41,jute
36,27,10,29.15,70.22,6.42,160.52,jute
28,37,8,25.94,85.27,6.54,173.17,jute
28,31,7,26.75,82.3,6.23,194.02,jute
37,29,12,29.34,82.86,6.31,193.72,jute
32,29,10,28.3,71.7,6.15,201.15,jute
30,29,6,28.98,82.92,6.77,173.11,jute
35,33,8,29.04,89.17,6.67,183.14,jute
29,35,13,25.46,87.67,6.15,161.54,jute
36,29,13,25.26,81.26,6.44,196.54,jute
31,32,6,27.8,78.3,6.39,183.21,jute
31,32,10,29.42,88.53,6.96,216.18,jute
36,34,12,27.8,80.78,6.79,197.98,jute
33,31,8,25.13,78.05,6.47,196.9,jute
35,28,10,29.99,90.67,6.38,162.53,jute
35,26,9,27.63,70.12,6.31,156.59,jute
31,29,13,28.03,70.74,6.27,183.51,jute
28,34,8,28.13,91.37,6.82,210.42,jute
37,37,11,27.45,80.42,6.87,202.54,jute
36,26,6,29.47,73.37,6.74,210.96,jute
29,31,12,25.28,84.02,6.06,156.82,jute
33,37,7,28.07,70.37,6.84,209.38,jute
31,34,13,27.93,90.77,6.52,215.84,jute
32,36,11,25.32,88.15,6.5,201.03,jute
28,31,8,25.99,81.12,6.17,202.28,jute
36,26,8,26.75,77.51,6.57,198.74,jute
33,31,6,25.45,86.05,6.19,191.38,jute
37,35,12,26.09,78.24,6.08,200.7,jute
30,36,11,29.51,74.2,6.76,159.29,jute
28,34,7,25.7,76.94,6.23,163.18,jute
36,28,8,28.49,75.82,6.49,190.51,jute
31,33,9,28.16,88.3,6.04,208.43,jute
31,32,7,28.51,77.63,6.81,205.74,jute
30,34,10,29.15,87.47,6.09,204.14,jute
30,31,6,25.58,84.48,6.19,159.79,jute
33,30,9,27.94,70.74,6.7,194.06,jute
36,26,9,26.67,84.25,6.1,213.92,jute
31,31,7,25.11,87.8,6.46,190.32,jute
32,30,12,26.26,78.21,6.34,197.5,jute
31,37,13,28.82,89.82,6.51,179.47,jute
35,37,9,25.14,81.27,6.92,212.06,jute
37,37,7,29.86,86.54,6.13,173.32,jute
37,37,8,28.83,87.63,6.46,161.57,jute
28,27,13,26.51,71.77,6.24,164.23,jute
28,28,11,29.23,78.23,6.48,174.13,jute
32,34,11,29.56,84.71,6.83,199.44,jute
35,27,7,28.82,72.94,6.77,212.86,jute
36,34,9,26.97,71.58,6.49,201.83,jute
33,28,10,28.84,78.12,6.34,207.63,jute
34,35,13,28.23,73.04,6.19,164.79,jute
32,30,11,27.13,76.27,6.39,207.49,jute
28,37,9,25.82,85.01,6.83,182.54,jute
28,34,6,29.31,87.68,6.01,172.33,jute
33,30,9,27.43,91.12,6.4,204.0,jute
31,29,11,28.02,87.65,6.45,176.1,jute
32,30,10,26.82,87.28,6.98,187.22,jute
31,34,7,26.69,90.55,6.59,163.83,jute
36,34,9,25.24,76.2,6.12,184.27,jute
31,36,11,26.26,77.42,6.3,207.34,jute
33,28,8,25.09,77.14,6.64,191.7,jute
31,26,11,26.24,71.85,6.09,200.88,jute
34,31,8,29.86,85.16,6.24,207.79,jute
36,34,10,27.29,71.68,6.37,160.27,jute
37,33,13,26.91,91.57,6.08,214.92,jute
35,31,6,29.75,75.65,6.65,211.8,jute
36,31,6,25.96,75.74,6.3,185.98,jute
36,28,12,26.87,80.4,6.76,180.59,jute
35,35,8,28.36,83.3,6.91,197.47,jute
30,30,6,27.07,72.85,6.27,191.94,jute
37,29,7,25.09,77.14,6.06,170.15,jute
35,35,10,28.17,77.23,6.39,215.09,jute
28,30,8,27.22,80.16,6.74,164.74,jute
34,34,8,25.16,88.75,6.97,194.2,jute
33,30,7,29.92,78.12,6.29,172.07,jute
34,26,11,25.83,77.74,6.43,219.71,jute
28,37,10,27.45,75.16,6.92,159.22,jute
34,36,6,26.09,91.83,6.57,162.5,jute
29,35,11,27.01,78.99,6.75,179.27,jute
33,29,8,25.53,89.46,6.96,203.32,jute
31,32,9,29.3,80.89,6.46,207.83,jute
32,37,7,26.44,81.72,6.33,182.48,jute
29,36,9,28.27,91.43,6.41,194.55,jute
34,27,10,29.99,83.19,6.73,216.18,jute
31,29,10,27.36,72.0,6.37,202.01,jute
36,33,10,29.32,88.71,6.16,175.83,jute
36,28,13,29.61,77.1,6.29,212.61,jute
30,31,7,28.02,91.77,6.8,218.1,jute
33,27,10,26.66,90.24,6.16,182.35,jute
37,26,6,28.38,89.08,7.0,210.35,jute
28,31,8,28.58,72.66,6.78,195.3,jute
33,26,9,28.63,76.45,6.4,207.56,jute
35,30,11,27.56,84.29,6.43,158.68,jute
29,29,12,28.77,72.46,6.17,178.9,jute
31,36,12,26.05,72.14,6.64,155.18,jute
36,31,7,26.3,76.5,6.44,205.12,jute
35,32,10,28.81,73.26,6.29,165.47,jute
31,30,8,29.72,73.48,6.63,183.27,jute
32,29,11,28.48,73.22,6.29,176.9,jute
34,26,7,26.51,82.85,6.26,200.48,jute
35,37,9,28.09,73.75,6.34,160.91,jute
36,29,8,29.33,80.68,6.17,186.77,jute
29,36,6,29.73,77.53,6.31,165.7,jute
30,35,12,28.25,77.84,6.46,213.89,jute
37,36,12,28.92,81.53,6.23,164.18,jute
34,30,6,26.65,71.48,6.55,187.43,jute
35,36,13,25.28,82.47,6.25,167.93,jute
35,34,11,26.23,85.17,6.46,152.82,jute
34,32,6,25.95,88.28,6.06,213.22,jute
33,26,7,27.93,82.79,6.46,187.59,jute
35,29,11,25.98,72.56,6.08,163.82,jute
33,28,9,27.85,82.8,6.86,157.81,jute
36,35,7,29.03,83.52,6.46,150.03,jute
35,33,9,25.88,81.16,6.51,216.6,jute
31,36,7,26.38,82.35,6.31,180.8,jute
37,37,9,26.6,91.44,6.47,161.42,jute
28,31,8,29.63,79.75,6.64,187.7,jute
29,35,12,26.07,81.04,6.32,187.13,jute
29,29,10,27.86,73.4,6.16,203.65,jute
35,36,10,25.79,91.05,6.98,195.74,jute
35,35,8,29.66,80.38,6.86,171.25,jute
29,30,8,28.73,79.89,6.43,177.55,jute
32,35,9,29.84,77.78,6.81,218.25,jute
35,26,11,26.04,85.77,6.29,176.14,jute
31,35,8,27.8,74.39,6.21,185.21,jute
36,27,7,26.63,80.55,6.72,182.89,jute
37,26,11,28.44,90.0,6.49,169.61,jute
34,30,6,28.2,76.07,6.37,214.65,jute
29,27,12,26.62,87.06,6.41,160.62,jute
29,29,7,25.44,75.39,6.57,203.4,jute
30,32,8,25.11,86.99,6.07,205.01,jute
35,29,12,29.53,79.81,6.88,162.89,jute
32,31,8,28.39,85.49,6.26,202.34,jute
28,27,9,26.98,80.7,6.05,186.99,jute
37,32,6,27.19,70.71,6.5,205.88,jute
35,31,10,28.17,86.16,6.57,218.2,jute
35,32,12,29.23,71.93,6.92,192.7,jute
37,35,12,27.15,76.09,6.45,211.64,jute
35,33,6,28.24,77.48,6.53,198.48,jute
36,31,6,27.87,70.14,6.83,151.32,jute
30,31,8,26.11,84.84,6.33,182.04,jute
34,35,10,26.77,89.37,6.87,160.68,jute
35,28,7,25.13,83.24,6.84,204.56,jute
33,37,8,26.58,75.06,6.21,171.21,jute
32,29,13,26.09,77.82,6.14,212.92,jute
32,36,9,27.22,86.37,6.74,176.63,jute
32,30,7,26.9,87.92,6.09,162.26,jute
37,34,6,28.78,72.65,6.49,192.34,jute
35,29,7,29.93,87.6,6.36,167.87,jute
29,31,6,29.02,78.81,6.86,174.83,jute
37,36,9,29.24,76.62,7.0,155.91,jute
34,30,9,29.76,76.04,6.65,172.63,jute
29,28,10,25.64,73.43,6.7,203.36,jute
28,35,12,28.3,78.18,6.41,161.02,jute
29,37,13,28.71,87.83,6.18,211.54,jute
29,27,9,26.53,83.76,6.91,168.56,jute
31,35,8,29.44,70.75,6.87,213.95,jute
28,30,10,27.63,73.48,6.01,212.8,jute
28,37,6,27.38,91.63,6.86,187.57,jute
29,33,11,26.56,80.33,6.9,158.97,jute
34,30,10,28.58,80.51,6.75,209.64,jute
29,28,7,29.71,74.96,6.08,156.64,jute
32,36,6,26.13,74.06,6.66,173.0,jute
37,34,10,27.89,89.44,6.76,159.22,jute
32,33,10,29.67,70.75,6.91,176.95,jute
28,28,7,25.71,70.75,6.79,161.33,jute
31,32,9,26.72,83.83,6.82,190.4,jute
32,28,10,27.73,72.59,6.28,203.8,jute
37,30,13,26.28,87.75,6.49,188.42,jute
34,34,8,27.6,71.39,6.37,194.96,jute
37,27,7,27.29,72.45,6.55,170.7,jute
36,29,9,29.92,71.83,6.87,185.33,jute
31,37,13,25.97,88.48,6.22,151.17,jute
35,30,10,25.76,88.92,6.53,206.02,jute
31,28,13,27.65,78.24,6.1,161.59,jute
34,33,12,28.76,73.35,6.94,192.68,jute
36,29,13,29.74,76.52,6.9,218.04,jute
36,31,7,29.69,70.01,6.25,188.9,jute
31,37,10,29.8,71.3,6.41,160.07,jute
36,35,12,29.75,75.33,6.79,195.23,jute
31,28,12,25.35,91.19,6.28,212.48,jute
29,34,13,25.76,79.75,6.67,203.24,jute
28,27,8,25.51,83.83,6.47,196.23,jute
30,27,11,27.27,71.55,6.98,213.74,jute
31,29,13,26.91,89.6,6.11,182.66,jute
33,36,11,28.97,86.69,6.22,157.21,jute
37,33,10,26.81,89.13,6.66,208.57,jute
37,31,11,29.33,76.16,6.72,169.31,jute
30,32,9,29.18,91.63,6.08,157.08,jute
36,28,9,27.96,84.64,6.1,204.66,jute
35,32,12,26.88,81.42,6.93,176.78,jute
34,33,12,29.77,82.66,6.12,203.48,jute
31,34,13,27.11,78.66,6.74,174.31,jute
35,36,10,27.61,90.68,6.81,193.97,jute
35,34,6,27.83,70.53,6.95,156.92,jute
37,35,11,29.25,75.58,6.82,174.08,jute
37,28,9,25.24,80.08,6.99,168.42,jute
35,28,12,27.74,77.08,6.4,174.4,jute
36,36,12,26.67,83.56,6.74,208.54,jute
30,35,6,28.61,84.07,6.31,184.8,jute
29,30,8,28.54,77.71,6.81,212.7,jute
35,37,8,25.56,82.8,6.91,199.02,jute
33,35,10,26.99,85.3,6.2,156.34,jute
33,36,9,26.32,85.75,6.53,177.77,jute
37,27,13,29.07,89.52,6.29,189.91,jute
28,37,9,25.2,82.06,6.67,169.17,jute
32,36,13,26.23,74.97,6.65,165.12,jute
28,28,6,28.06,88.43,6.41,188.59,jute
33,30,12,27.9,83.8,6.89,218.54,jute
35,34,13,29.02,75.8,6.37,213.0,jute
37,29,8,29.79,72.96,6.86,219.04,jute
30,32,7,29.91,87.25,6.51,183.3,jute
31,35,10,28.6,85.79,6.64,188.79,jute
37,31,10,25.27,83.61,6.5,180.53,jute
37,28,10,27.79,71.27,6.35,210.73,jute
29,34,6,28.59,82.53,6.95,200.94,jute
35,31,11,29.71,91.7,6.22,181.65,jute
33,34,8,27.85,89.27,6.95,160.1,jute
33,34,8,25.03,83.41,6.71,175.08,jute
29,37,10,27.65,86.07,6.73,167.42,jute
34,35,7,25.91,84.29,6.49,158.37,jute
28,37,10,29.75,78.52,6.41,198.75,jute
29,30,6,26.78,85.56,6.88,184.98,jute
29,30,7,29.93,83.93,6.34,202.63,jute
33,26,10,29.91,71.3,6.37,161.8,jute
37,32,6,26.92,70.61,6.91,189.44,jute
36,37,7,28.1,74.0,6.22,174.17,jute
36,36,10,27.87,89.61,6.71,211.58,jute
29,27,12,25.15,70.85,6.54,217.06,jute
37,35,8,26.46,77.68,6.18,186.29,jute
37,31,10,29.99,90.24,6.94,215.0,jute
33,30,9,25.58,82.2,6.34,175.6,jute
30,35,7,27.02,77.88,6.92,214.48,jute
36,36,11,29.2,72.17,6.52,196.45,jute
31,32,10,27.66,78.67,6.55,164.07,jute
31,31,7,29.72,79.38,6.44,155.77,jute
28,27,10,28.05,76.73,6.99,203.95,jute
35,34,10,25.21,90.83,6.31,191.12,jute
37,32,11,28.7,81.75,6.05,171.21,jute
29,37,6,29.13,89.22,6.74,186.68,jute
29,30,11,29.55,72.17,6.95,212.46,jute
35,26,7,26.03,84.09,6.02,214.55,jute
30,34,13,25.02,75.29,6.81,208.19,jute
37,37,12,26.86,88.43,6.04,159.92,jute
30,34,13,27.11,82.55,6.86,193.83,jute
30,36,11,26.36,85.19,6.42,178.95,jute
30,36,12,27.44,83.2,6.63,177.68,jute
34,31,11,26.11,84.03,6.12,213.16,jute
32,28,8,29.72,75.64,6.68,215.14,jute
31,32,8,27.85,72.39,6.12,207.6,jute
36,37,10,27.49,72.8,7.0,182.83,jute
29,28,12,25.92,86.78,6.81,166.92,jute
34,31,7,27.99,70.9,6.93,203.68,jute
29,28,8,27.84,90.87,6.34,216.53,jute
37,30,7,28.22,78.61,6.15,170.43,jute
28,28,7,28.29,79.66,6.87,154.86,jute
30,32,10,25.72,91.21,6.06,197.93,jute
32,32,10,25.85,90.52,6.37,160.04,jute
29,28,9,27.81,87.9,6.77,158.37,jute
30,33,10,25.37,84.27,6.91,215.6,jute
34,29,10,27.25,86.46,6.68,192.88,jute
31,37,9,29.6,73.37,6.54,175.21,jute
29,33,7,29.84,91.98,6.88,175.77,jute
28,35,7,27.3,85.64,6.54,165.89,jute
32,36,8,29.71,79.27,6.42,201.34,jute
32,30,8,26.63,78.78,6.72,164.41,jute
30,28,7,29.37,84.51,6.62,213.02,jute
33,35,9,28.22,74.7,6.14,157.61,jute
34,29,12,28.87,83.72,6.05,165.2,jute
33,27,9,27.59,73.97,6.44,198.58,jute
31,34,8,28.73,82.39,6.16,178.13,jute
35,28,9,27.34,89.1,6.13,215.19,jute
31,37,10,28.68,89.27,6.68,205.09,jute
28,26,12,25.26,88.76,6.31,213.13,jute
30,27,7,29.2,77.98,6.91,190.84,jute
36,31,11,26.45,72.23,6.56,213.06,jute
29,30,10,28.09,73.48,6.55,182.87,jute
37,34,13,29.88,84.61,6.15,181.14,jute
35,27,9,26.9,73.75,6.02,198.17,jute
36,37,10,25.91,89.67,6.97,216.26,jute
33,36,13,29.43,71.52,6.13,171.01,jute
31,27,13,28.95,84.72,6.96,172.45,jute
35,37,6,28.01,87.58,6.02,212.37,jute
32,28,12,25.96,76.17,6.52,214.11,jute
32,36,6,26.19,76.75,6.45,180.31,jute
28,35,12,27.29,71.77,6.55,159.15,jute
37,33,11,25.1,78.37,6.9,176.6,jute
28,34,11,26.68,87.67,6.85,204.89,jute
32,30,13,28.6,82.15,6.49,168.67,jute
37,37,6,28.33,77.01,6.51,157.95,jute
36,35,6,25.37,78.21,6.15,206.1,jute
35,36,6,25.07,87.75,6.87,193.22,jute
29,33,12,27.3,89.21,6.79,157.41,jute
29,34,7,28.73,71.79,6.09,216.6,jute
28,35,7,25.25,71.75,6.32,187.05,jute
32,28,13,28.03,74.09,6.29,197.33,jute
36,26,7,25.03,73.87,6.2,160.07,jute
33,37,11,28.51,71.67,6.19,172.5,jute
37,27,11,27.96,83.23,6.51,169.98,jute
32,35,11,27.65,84.41,6.97,167.62,jute
35,26,6,26.72,86.12,6.62,207.24,jute
28,35,11,25.06,86.37,6.09,191.17,jute
37,30,11,28.39,71.45,6.26,208.78,jute
32,34,9,27.5,86.8,6.31,219.94,jute
29,33,6,26.76,80.23,6.46,214.64,jute
36,37,9,29.5,79.95,6.14,202.54,jute
32,26,7,26.58,91.77,6.63,177.96,jute
28,35,11,25.86,83.04,6.18,156.64,jute
31,27,8,25.11,78.63,6.3,216.86,jute
33,28,9,28.62,79.52,6.95,161.19,jute
37,26,13,25.33,77.11,6.48,170.25,jute
30,37,12,27.08,70.29,6.31,161.1,jute
34,34,9,25.61,72.85,6.28,200.73,jute
36,36,8,29.85,71.39,6.45,179.19,jute
30,29,7,29.36,76.88,6.92,218.08,jute
35,32,10,26.66,74.28,6.13,172.53,jute
34,37,7,27.96,75.21,6.82,184.2,jute
32,26,10,25.48,86.5,6.62,155.69,jute
32,33,13,29.79,75.85,6.45,204.42,jute
35,29,7,29.24,71.3,6.25,194.31,jute
31,35,9,25.73,76.0,6.32,218.97,jute
34,32,12,28.23,91.07,6.6,158.43,jute
35,34,7,28.99,76.21,6.79,179.61,jute
36,26,8,25.72,70.56,6.65,203.37,jute
28,31,13,25.74,83.77,6.56,191.57,jute
35,27,8,26.38,85.54,6.45,161.4,jute
29,37,6,29.34,82.16,6.37,172.07,jute
35,32,11,28.23,78.7,6.33,208.53,jute
28,29,10,27.84,89.43,6.06,200.21,jute
29,26,6,25.76,81.5,6.94,166.45,jute
35,37,8,27.06,86.52,6.49,188.16,jute
33,33,9,25.77,88.1,6.81,181.39,jute
29,36,8,26.2,84.18,6.56,153.67,jute
36,28,6,26.1,75.12,6.15,210.93,jute
33,29,12,28.35,70.42,6.77,184.46,jute
34,34,10,25.2,82.97,6.21,190.79,jute
28,34,10,26.84,89.77,6.16,164.89,jute
33,36,11,26.41,82.24,6.51,161.19,jute
30,33,8,26.64,75.73,6.12,169.98,jute
28,33,11,27.56,78.93,6.18,152.92,jute
36,34,12,26.0,82.54,6.75,208.31,jute
34,36,12,26.8,71.2,6.63,189.68,jute
36,29,10,26.55,74.76,6.18,173.38,jute
33,34,11,27.29,78.6,6.75,214.46,jute
32,33,12,28.34,90.63,6.08,157.51,jute
28,26,6,25.06,76.03,6.0,181.15,jute
35,37,6,26.84,84.21,6.97,201.93,jute
31,29,11,26.49,70.77,6.12,159.93,jute
32,37,13,29.57,72.65,6.64,216.67,jute
35,36,13,25.87,72.48,6.72,181.87,jute
36,34,8,25.11,82.39,6.06,198.43,jute
30,30,9,25.19,79.51,6.47,162.25,jute
28,36,11,29.8,89.28,6.71,200.32,jute
30,29,11,29.82,74.14,6.69,206.72,jute
37,26,10,29.28,82.3,6.7,205.44,jute
35,34,8,25.44,78.08,6.82,188.12,jute
31,36,11,27.7,77.06,6.64,178.49,jute
33,30,13,28.84,73.25,6.67,212.26,jute
34,30,13,25.43,75.57,6.14,214.73,jute
34,31,10,28.4,89.57,6.34,214.28,jute
37,27,8,28.16,86.39,6.85,190.16,jute
37,35,12,26.98,88.12,6.88,219.34,jute
33,32,10,26.27,82.11,6.94,201.78,jute
34,35,9,26.63,88.4,6.37,215.58,jute
33,35,7,26.76,78.98,6.75,157.45,jute
34,31,12,29.48,74.14,6.0,205.55,jute
33,27,7,25.36,90.9,6.24,178.43,jute
36,32,6,29.07,70.52,6.03,158.48,jute
29,35,6,26.27,90.92,6.42,175.03,jute
32,34,8,26.94,74.59,6.43,191.28,jute
32,33,6,27.46,70.69,6.32,152.17,jute
35,36,9,27.7,72.16,6.69,193.42,jute
31,37,9,25.14,70.85,6.49,213.41,jute
32,32,6,28.62,85.74,6.92,181.83,jute
35,28,13,25.17,76.82,6.78,209.82,jute
30,30,6,25.64,88.98,6.78,215.49,jute
32,32,9,28.49,78.54,6.92,195.76,jute
28,33,11,27.46,89.85,6.29,161.39,jute
30,29,6,25.77,88.42,6.2,184.04,jute
28,35,12,29.53,86.99,6.04,162.79,jute
31,34,12,26.14,79.78,6.7,213.82,jute
